用户ID,商品ID,商品类目ID,行为类型,时间戳,时间,日期,小时,星期几
100,2337874,1194311,点击,1511751022,2017-11-27 02:50:22,2017-11-27,2,0
100,3658601,2342116,点击,1511757958,2017-11-27 04:45:58,2017-11-27,4,0
100,5153036,2342116,点击,1511758581,2017-11-27 04:56:21,2017-11-27,4,0
100,598929,2429887,购买,1511759458,2017-11-27 05:10:58,2017-11-27,5,0
100,3245421,2881542,点击,1511759664,2017-11-27 05:14:24,2017-11-27,5,0
100,598929,2429887,点击,1511765548,2017-11-27 06:52:28,2017-11-27,6,0
100,2971043,4869428,点击,1511765568,2017-11-27 06:52:48,2017-11-27,6,0
100,4661590,3425094,点击,1511765639,2017-11-27 06:53:59,2017-11-27,6,0
100,4902636,3425094,点击,1511765659,2017-11-27 06:54:19,2017-11-27,6,0
100,1046201,3002561,点击,1511765687,2017-11-27 06:54:47,2017-11-27,6,0
100,3687011,223690,点击,1511765918,2017-11-27 06:58:38,2017-11-27,6,0
100,2677866,3624696,点击,1511766122,2017-11-27 07:02:02,2017-11-27,7,0
100,4492008,4482016,点击,1511766135,2017-11-27 07:02:15,2017-11-27,7,0
100,2690154,2293367,点击,1511766238,2017-11-27 07:03:58,2017-11-27,7,0
100,4341929,2293367,收藏,1511766408,2017-11-27 07:06:48,2017-11-27,7,0
100,4863356,2293367,点击,1511766426,2017-11-27 07:07:06,2017-11-27,7,0
100,4244099,2293367,点击,1511766434,2017-11-27 07:07:14,2017-11-27,7,0
100,562760,2293367,点击,1511766436,2017-11-27 07:07:16,2017-11-27,7,0
100,4863356,2293367,点击,1511766455,2017-11-27 07:07:35,2017-11-27,7,0
100,1640913,2293367,点击,1511766462,2017-11-27 07:07:42,2017-11-27,7,0
100,2206711,2293367,点击,1511766473,2017-11-27 07:07:53,2017-11-27,7,0
100,3895389,2293367,点击,1511766505,2017-11-27 07:08:25,2017-11-27,7,0
100,1046201,3002561,购买,1511767298,2017-11-27 07:21:38,2017-11-27,7,0
100,2434962,3897386,点击,1511768604,2017-11-27 07:43:24,2017-11-27,7,0
100,3245421,2881542,点击,1511771412,2017-11-27 08:30:12,2017-11-27,8,0
100,2434962,3897386,点击,1511773049,2017-11-27 08:57:29,2017-11-27,8,0
100,3629289,2881542,点击,1511774038,2017-11-27 09:13:58,2017-11-27,9,0
100,4075065,2881542,点击,1511774179,2017-11-27 09:16:19,2017-11-27,9,0
100,1606258,4098232,购买,1511789940,2017-11-27 13:39:00,2017-11-27,13,0
100,4840649,1029459,购买,1511790130,2017-11-27 13:42:10,2017-11-27,13,0
100,2574432,4896062,点击,1511790389,2017-11-27 13:46:29,2017-11-27,13,0
100,251391,3738615,购买,1511790782,2017-11-27 13:53:02,2017-11-27,13,0
100,510936,1575622,点击,1511790915,2017-11-27 13:55:15,2017-11-27,13,0
100,251391,3738615,点击,1511790928,2017-11-27 13:55:28,2017-11-27,13,0
100,4840649,1029459,点击,1511790973,2017-11-27 13:56:13,2017-11-27,13,0
100,3245421,2881542,点击,1511823877,2017-11-27 23:04:37,2017-11-27,23,0
100,4075065,2881542,点击,1511823917,2017-11-27 23:05:17,2017-11-27,23,0
100,251391,3738615,点击,1511824489,2017-11-27 23:14:49,2017-11-27,23,0
100,1606258,4098232,点击,1511824712,2017-11-27 23:18:32,2017-11-27,23,0
100,4075065,2881542,购买,1511833877,2017-11-28 01:51:17,2017-11-28,1,1
100,4840649,1029459,点击,1511868574,2017-11-28 11:29:34,2017-11-28,11,1
100,251391,3738615,点击,1511868672,2017-11-28 11:31:12,2017-11-28,11,1
100,4075065,2881542,点击,1511868722,2017-11-28 11:32:02,2017-11-28,11,1
100,1606258,4098232,点击,1511868772,2017-11-28 11:32:52,2017-11-28,11,1
100,1046201,3002561,点击,1511868784,2017-11-28 11:33:04,2017-11-28,11,1
100,251391,3738615,点击,1511929658,2017-11-29 04:27:38,2017-11-29,4,2
100,4840649,1029459,点击,1511929671,2017-11-29 04:27:51,2017-11-29,4,2
100,1606258,4098232,点击,1511929678,2017-11-29 04:27:58,2017-11-29,4,2
100,137999,4640311,点击,1512123219,2017-12-01 10:13:39,2017-12-01,10,4
100,1203280,4640311,点击,1512123340,2017-12-01 10:15:40,2017-12-01,10,4
100,2322855,3299155,点击,1512137970,2017-12-01 14:19:30,2017-12-01,14,4
100,4140845,2096639,点击,1512173626,2017-12-02 00:13:46,2017-12-02,0,5
100,3656511,3312150,点击,1512177480,2017-12-02 01:18:00,2017-12-02,1,5
100,2772937,3114694,点击,1512192261,2017-12-02 05:24:21,2017-12-02,5,5
100,2859169,2096639,点击,1512201298,2017-12-02 07:54:58,2017-12-02,7,5
1000,3722942,1051370,点击,1511570091,2017-11-25 00:34:51,2017-11-25,0,5
1000,3059682,2440115,点击,1511571595,2017-11-25 00:59:55,2017-11-25,0,5
1000,4774231,1312642,点击,1511571599,2017-11-25 00:59:59,2017-11-25,0,5
1000,2599546,3995452,收藏,1511571647,2017-11-25 01:00:47,2017-11-25,1,5
1000,1501998,4382196,点击,1511656892,2017-11-26 00:41:32,2017-11-26,0,6
1000,2593031,1029459,点击,1511657118,2017-11-26 00:45:18,2017-11-26,0,6
1000,1797452,3624696,收藏,1511657192,2017-11-26 00:46:32,2017-11-26,0,6
1000,3869395,1349561,点击,1511657410,2017-11-26 00:50:10,2017-11-26,0,6
1000,3302343,2342116,点击,1511657664,2017-11-26 00:54:24,2017-11-26,0,6
1000,5120034,1051370,点击,1511744280,2017-11-27 00:58:00,2017-11-27,0,0
1000,1186274,2939262,收藏,1511744330,2017-11-27 00:58:50,2017-11-27,0,0
1000,4417931,4558987,点击,1511744491,2017-11-27 01:01:31,2017-11-27,1,0
1000,4769300,2430608,点击,1511745166,2017-11-27 01:12:46,2017-11-27,1,0
1000,2956844,2419959,收藏,1511865506,2017-11-28 10:38:26,2017-11-28,10,1
1000,544269,2419959,点击,1511865555,2017-11-28 10:39:15,2017-11-28,10,1
1000,2956844,2419959,点击,1511865567,2017-11-28 10:39:27,2017-11-28,10,1
1000,4402665,1789614,点击,1511865925,2017-11-28 10:45:25,2017-11-28,10,1
1000,3011372,1349561,点击,1511865958,2017-11-28 10:45:58,2017-11-28,10,1
1000,4487355,1653613,收藏,1511866709,2017-11-28 10:58:29,2017-11-28,10,1
1000,4185482,1653613,点击,1511874610,2017-11-28 13:10:10,2017-11-28,13,1
1000,2594546,1851156,点击,1511932926,2017-11-29 05:22:06,2017-11-29,5,2
1000,3255674,2440115,点击,1511933559,2017-11-29 05:32:39,2017-11-29,5,2
1000,2153891,1051370,点击,1511935123,2017-11-29 05:58:43,2017-11-29,5,2
1000,1925478,171529,点击,1511944345,2017-11-29 08:32:25,2017-11-29,8,2
1000,4793529,238434,点击,1511967232,2017-11-29 14:53:52,2017-11-29,14,2
1000,4827739,1051370,收藏,1511972085,2017-11-29 16:14:45,2017-11-29,16,2
1000,843246,1879194,加购,1511972134,2017-11-29 16:15:34,2017-11-29,16,2
1000,848341,5071267,点击,1511972325,2017-11-29 16:18:45,2017-11-29,16,2
1000,203347,1851156,点击,1511974144,2017-11-29 16:49:04,2017-11-29,16,2
1000,4950759,411153,点击,1512039862,2017-11-30 11:04:22,2017-11-30,11,3
1000,2033067,3579754,点击,1512040022,2017-11-30 11:07:02,2017-11-30,11,3
1000,1822774,3579754,点击,1512040382,2017-11-30 11:13:02,2017-11-30,11,3
1000,543879,3579754,点击,1512040450,2017-11-30 11:14:10,2017-11-30,11,3
1000,462579,3579754,点击,1512040470,2017-11-30 11:14:30,2017-11-30,11,3
1000,1822774,3579754,点击,1512040518,2017-11-30 11:15:18,2017-11-30,11,3
1000,4720367,3579754,点击,1512041216,2017-11-30 11:26:56,2017-11-30,11,3
1000,1520357,3579754,点击,1512041447,2017-11-30 11:30:47,2017-11-30,11,3
1000,1373387,1202097,点击,1512041462,2017-11-30 11:31:02,2017-11-30,11,3
1000,1109842,3579754,点击,1512041625,2017-11-30 11:33:45,2017-11-30,11,3
1000,2196555,2430608,点击,1512042012,2017-11-30 11:40:12,2017-11-30,11,3
1000,4240134,2939262,点击,1512042734,2017-11-30 11:52:14,2017-11-30,11,3
1000,1907674,1851156,点击,1512042775,2017-11-30 11:52:55,2017-11-30,11,3
1000,1922292,4993094,收藏,1512042934,2017-11-30 11:55:34,2017-11-30,11,3
1000,2033067,3579754,点击,1512043285,2017-11-30 12:01:25,2017-11-30,12,3
1000,4778761,2982027,点击,1512043597,2017-11-30 12:06:37,2017-11-30,12,3
1000,2663756,1299190,点击,1512043850,2017-11-30 12:10:50,2017-11-30,12,3
1000,4064135,1299190,收藏,1512043880,2017-11-30 12:11:20,2017-11-30,12,3
1000,2663756,1299190,点击,1512043956,2017-11-30 12:12:36,2017-11-30,12,3
1000,620939,2352202,点击,1512043971,2017-11-30 12:12:51,2017-11-30,12,3
1000,2339773,1851156,点击,1512044079,2017-11-30 12:14:39,2017-11-30,12,3
1000,4444531,1851156,点击,1512044242,2017-11-30 12:17:22,2017-11-30,12,3
1000,694225,807138,点击,1512044563,2017-11-30 12:22:43,2017-11-30,12,3
1000,4599135,245312,点击,1512228047,2017-12-02 15:20:47,2017-12-02,15,5
1000,3532002,1299190,点击,1512228210,2017-12-02 15:23:30,2017-12-02,15,5
1000,3872382,1879194,收藏,1512228264,2017-12-02 15:24:24,2017-12-02,15,5
1000,2412328,1879194,点击,1512228361,2017-12-02 15:26:01,2017-12-02,15,5
1000,3532002,1299190,点击,1512228449,2017-12-02 15:27:29,2017-12-02,15,5
1000,3877041,5053508,点击,1512228777,2017-12-02 15:32:57,2017-12-02,15,5
1000,308742,1864538,点击,1512229535,2017-12-02 15:45:35,2017-12-02,15,5
1000,3214150,5071267,点击,1512229711,2017-12-02 15:48:31,2017-12-02,15,5
1000,2340930,1051370,收藏,1512229780,2017-12-02 15:49:40,2017-12-02,15,5
1000,1409153,5071267,点击,1512229806,2017-12-02 15:50:06,2017-12-02,15,5
1000,2340930,1051370,点击,1512230614,2017-12-02 16:03:34,2017-12-02,16,5
1000,1585986,1299190,点击,1512230625,2017-12-02 16:03:45,2017-12-02,16,5
1000,3259125,1851156,收藏,1512230930,2017-12-02 16:08:50,2017-12-02,16,5
1000001,1649625,4145813,点击,1511800929,2017-11-27 16:42:09,2017-11-27,16,0
1000001,250452,4145813,点击,1511802582,2017-11-27 17:09:42,2017-11-27,17,0
1000001,1649625,4145813,点击,1511802711,2017-11-27 17:11:51,2017-11-27,17,0
1000001,3093290,4145813,点击,1511837788,2017-11-28 02:56:28,2017-11-28,2,1
1000001,4343896,4756105,点击,1511881700,2017-11-28 15:08:20,2017-11-28,15,1
1000001,3132168,154040,点击,1511881851,2017-11-28 15:10:51,2017-11-28,15,1
1000001,1582853,4173315,点击,1511881921,2017-11-28 15:12:01,2017-11-28,15,1
1000001,4567929,154040,点击,1511881980,2017-11-28 15:13:00,2017-11-28,15,1
1000001,2895228,154040,点击,1511882067,2017-11-28 15:14:27,2017-11-28,15,1
1000001,823063,154040,点击,1511882139,2017-11-28 15:15:39,2017-11-28,15,1
1000001,2999487,1973012,点击,1511924532,2017-11-29 03:02:12,2017-11-29,3,2
1000001,1339050,4145813,点击,1511964945,2017-11-29 14:15:45,2017-11-29,14,2
1000001,4636765,3004853,点击,1511965566,2017-11-29 14:26:06,2017-11-29,14,2
1000001,2428634,3004853,点击,1511965748,2017-11-29 14:29:08,2017-11-29,14,2
1000001,4636765,3004853,点击,1511965786,2017-11-29 14:29:46,2017-11-29,14,2
1000001,1112446,3004853,点击,1511965811,2017-11-29 14:30:11,2017-11-29,14,2
1000001,1678636,154040,点击,1511966514,2017-11-29 14:41:54,2017-11-29,14,2
1000001,1546182,154040,点击,1511966625,2017-11-29 14:43:45,2017-11-29,14,2
1000001,4636765,3004853,点击,1512018256,2017-11-30 05:04:16,2017-11-30,5,3
1000001,2527684,3004853,点击,1512018272,2017-11-30 05:04:32,2017-11-30,5,3
1000001,1649625,4145813,点击,1512051293,2017-11-30 14:14:53,2017-11-30,14,3
1000001,1542066,2926020,点击,1512052936,2017-11-30 14:42:16,2017-11-30,14,3
1000001,1649625,4145813,点击,1512117398,2017-12-01 08:36:38,2017-12-01,8,4
1000001,1542066,2926020,点击,1512137168,2017-12-01 14:06:08,2017-12-01,14,4
1000001,1649625,4145813,点击,1512209815,2017-12-02 10:16:55,2017-12-02,10,5
1000001,778160,4145813,点击,1512209978,2017-12-02 10:19:38,2017-12-02,10,5
1000004,3854178,4181361,点击,1511571789,2017-11-25 01:03:09,2017-11-25,1,5
1000004,3999536,4756105,加购,1511571820,2017-11-25 01:03:40,2017-11-25,1,5
1000004,4426549,672001,点击,1511571838,2017-11-25 01:03:58,2017-11-25,1,5
1000004,1591982,672001,点击,1511571841,2017-11-25 01:04:01,2017-11-25,1,5
1000004,864562,4261392,点击,1511624303,2017-11-25 15:38:23,2017-11-25,15,5
1000004,2980887,3607361,加购,1511669671,2017-11-26 04:14:31,2017-11-26,4,6
1000004,4324270,3607361,点击,1511669729,2017-11-26 04:15:29,2017-11-26,4,6
1000004,2942146,3381933,点击,1511669739,2017-11-26 04:15:39,2017-11-26,4,6
1000004,4839543,982926,点击,1511669751,2017-11-26 04:15:51,2017-11-26,4,6
1000004,1133834,982926,点击,1511669775,2017-11-26 04:16:15,2017-11-26,4,6
1000004,4839543,982926,点击,1511669784,2017-11-26 04:16:24,2017-11-26,4,6
1000004,59883,4818107,点击,1511669796,2017-11-26 04:16:36,2017-11-26,4,6
1000004,4317893,1117956,点击,1511669818,2017-11-26 04:16:58,2017-11-26,4,6
1000004,950087,982926,点击,1511669828,2017-11-26 04:17:08,2017-11-26,4,6
1000004,4093990,3607361,点击,1511672939,2017-11-26 05:08:59,2017-11-26,5,6
1000004,522765,3607361,点击,1511672951,2017-11-26 05:09:11,2017-11-26,5,6
1000004,4763968,2355072,点击,1511672973,2017-11-26 05:09:33,2017-11-26,5,6
1000004,4093990,3607361,点击,1511672981,2017-11-26 05:09:41,2017-11-26,5,6
1000004,955594,1320293,点击,1511703217,2017-11-26 13:33:37,2017-11-26,13,6
1000004,2473596,4756105,点击,1511703252,2017-11-26 13:34:12,2017-11-26,13,6
1000004,2998425,1080785,点击,1511703261,2017-11-26 13:34:21,2017-11-26,13,6
1000004,1226070,1080785,点击,1511703277,2017-11-26 13:34:37,2017-11-26,13,6
1000004,2053091,1080785,点击,1511703391,2017-11-26 13:36:31,2017-11-26,13,6
1000004,4763968,2355072,点击,1511703434,2017-11-26 13:37:14,2017-11-26,13,6
1000004,1956224,4801426,点击,1511703443,2017-11-26 13:37:23,2017-11-26,13,6
1000004,40945,4756105,点击,1511703467,2017-11-26 13:37:47,2017-11-26,13,6
1000004,4192217,3607361,点击,1511703639,2017-11-26 13:40:39,2017-11-26,13,6
1000004,4823342,4173315,点击,1511703672,2017-11-26 13:41:12,2017-11-26,13,6
1000004,105055,1080785,点击,1511704082,2017-11-26 13:48:02,2017-11-26,13,6
1000004,162597,2355072,点击,1511704152,2017-11-26 13:49:12,2017-11-26,13,6
1000004,5028560,4173315,点击,1511704161,2017-11-26 13:49:21,2017-11-26,13,6
1000004,2526169,2355072,点击,1511704173,2017-11-26 13:49:33,2017-11-26,13,6
1000004,925404,3002561,点击,1511704194,2017-11-26 13:49:54,2017-11-26,13,6
1000004,1591982,672001,点击,1511707145,2017-11-26 14:39:05,2017-11-26,14,6
1000004,3693424,672001,点击,1511707152,2017-11-26 14:39:12,2017-11-26,14,6
1000004,3999536,4756105,点击,1511712361,2017-11-26 16:06:01,2017-11-26,16,6
1000004,1839512,1320293,点击,1511785444,2017-11-27 12:24:04,2017-11-27,12,0
1000004,4686539,149192,点击,1511785453,2017-11-27 12:24:13,2017-11-27,12,0
1000004,1839512,1320293,点击,1511785456,2017-11-27 12:24:16,2017-11-27,12,0
1000004,2765156,4112095,点击,1511965009,2017-11-29 14:16:49,2017-11-29,14,2
1000004,522765,3607361,点击,1511966013,2017-11-29 14:33:33,2017-11-29,14,2
1000004,2980887,3607361,点击,1511966037,2017-11-29 14:33:57,2017-11-29,14,2
1000004,1228106,4801426,点击,1511966082,2017-11-29 14:34:42,2017-11-29,14,2
1000004,4324270,3607361,点击,1511966092,2017-11-29 14:34:52,2017-11-29,14,2
1000004,5125742,3607361,点击,1511966096,2017-11-29 14:34:56,2017-11-29,14,2
1000004,571666,4756105,点击,1511966112,2017-11-29 14:35:12,2017-11-29,14,2
1000004,1975544,2355072,点击,1511966126,2017-11-29 14:35:26,2017-11-29,14,2
1000004,4324270,3607361,点击,1511966135,2017-11-29 14:35:35,2017-11-29,14,2
1000004,1757180,3607361,点击,1511966181,2017-11-29 14:36:21,2017-11-29,14,2
1000004,899145,3607361,点击,1511966192,2017-11-29 14:36:32,2017-11-29,14,2
1000004,2111992,1080785,点击,1511966212,2017-11-29 14:36:52,2017-11-29,14,2
1000004,1317750,1080785,加购,1511966265,2017-11-29 14:37:45,2017-11-29,14,2
1000004,4457235,1080785,点击,1511966306,2017-11-29 14:38:26,2017-11-29,14,2
1000004,1317750,1080785,点击,1511966317,2017-11-29 14:38:37,2017-11-29,14,2
1000004,1080797,3607361,点击,1511966390,2017-11-29 14:39:50,2017-11-29,14,2
1000004,479737,2355072,点击,1511966417,2017-11-29 14:40:17,2017-11-29,14,2
1000004,1863103,2355072,点击,1511966424,2017-11-29 14:40:24,2017-11-29,14,2
1000004,4363399,2355072,点击,1511966491,2017-11-29 14:41:31,2017-11-29,14,2
1000004,3417098,2355072,点击,1511966504,2017-11-29 14:41:44,2017-11-29,14,2
1000004,1757180,3607361,点击,1511966528,2017-11-29 14:42:08,2017-11-29,14,2
1000004,3235373,2355072,点击,1511966582,2017-11-29 14:43:02,2017-11-29,14,2
1000004,955501,149192,点击,1511966621,2017-11-29 14:43:41,2017-11-29,14,2
1000004,996928,2520377,点击,1511966627,2017-11-29 14:43:47,2017-11-29,14,2
1000004,4322536,4801426,点击,1511966636,2017-11-29 14:43:56,2017-11-29,14,2
1000004,955501,149192,点击,1511966656,2017-11-29 14:44:16,2017-11-29,14,2
1000004,3525158,737184,点击,1511966667,2017-11-29 14:44:27,2017-11-29,14,2
1000004,4823342,4173315,点击,1511966674,2017-11-29 14:44:34,2017-11-29,14,2
1000004,3525158,737184,点击,1511966686,2017-11-29 14:44:46,2017-11-29,14,2
1000004,955594,1320293,点击,1511966711,2017-11-29 14:45:11,2017-11-29,14,2
1000004,2187324,149192,点击,1511966731,2017-11-29 14:45:31,2017-11-29,14,2
1000004,2072281,1320293,点击,1511966748,2017-11-29 14:45:48,2017-11-29,14,2
1000004,2187324,149192,点击,1511966765,2017-11-29 14:46:05,2017-11-29,14,2
1000004,1317750,1080785,点击,1511966797,2017-11-29 14:46:37,2017-11-29,14,2
1000004,40945,4756105,点击,1511966884,2017-11-29 14:48:04,2017-11-29,14,2
1000004,3999536,4756105,点击,1511966891,2017-11-29 14:48:11,2017-11-29,14,2
1000004,4948650,982926,点击,1511967014,2017-11-29 14:50:14,2017-11-29,14,2
1000004,2750431,149192,点击,1511967048,2017-11-29 14:50:48,2017-11-29,14,2
1000004,3950842,4756105,点击,1511967069,2017-11-29 14:51:09,2017-11-29,14,2
1000004,1047994,2355072,点击,1511967078,2017-11-29 14:51:18,2017-11-29,14,2
1000004,2086446,1080785,点击,1511967088,2017-11-29 14:51:28,2017-11-29,14,2
1000004,2053091,1080785,点击,1511967125,2017-11-29 14:52:05,2017-11-29,14,2
1000004,155433,1320293,点击,1511967143,2017-11-29 14:52:23,2017-11-29,14,2
1000004,3404302,4756105,点击,1511967227,2017-11-29 14:53:47,2017-11-29,14,2
1000004,2104182,3459125,点击,1511967326,2017-11-29 14:55:26,2017-11-29,14,2
1000004,372559,4462359,点击,1511967411,2017-11-29 14:56:51,2017-11-29,14,2
1000004,2623735,2806049,点击,1511967459,2017-11-29 14:57:39,2017-11-29,14,2
1000004,5150592,672001,点击,1511967532,2017-11-29 14:58:52,2017-11-29,14,2
1000004,1591982,672001,点击,1511967538,2017-11-29 14:58:58,2017-11-29,14,2
1000004,1709587,672001,点击,1511967609,2017-11-29 15:00:09,2017-11-29,15,2
1000004,1928635,4181361,点击,1511967787,2017-11-29 15:03:07,2017-11-29,15,2
1000004,5064213,2355072,点击,1511967853,2017-11-29 15:04:13,2017-11-29,15,2
1000004,797408,672001,点击,1511967979,2017-11-29 15:06:19,2017-11-29,15,2
1000004,1317750,1080785,点击,1512057756,2017-11-30 16:02:36,2017-11-30,16,3
1000004,5098344,3607361,点击,1512057851,2017-11-30 16:04:11,2017-11-30,16,3
1000004,3600228,3607361,点击,1512057971,2017-11-30 16:06:11,2017-11-30,16,3
1000004,2053091,1080785,点击,1512058072,2017-11-30 16:07:52,2017-11-30,16,3
1000004,3854178,4181361,点击,1512058227,2017-11-30 16:10:27,2017-11-30,16,3
1000004,1093023,4756105,点击,1512058507,2017-11-30 16:15:07,2017-11-30,16,3
1000004,1317750,1080785,点击,1512104079,2017-12-01 04:54:39,2017-12-01,4,4
1000004,342576,1080785,点击,1512175255,2017-12-02 00:40:55,2017-12-02,0,5
1000004,755883,2355072,点击,1512175299,2017-12-02 00:41:39,2017-12-02,0,5
1000004,1848924,2355072,点击,1512175311,2017-12-02 00:41:51,2017-12-02,0,5
1000004,2003884,1320293,点击,1512175328,2017-12-02 00:42:08,2017-12-02,0,5
